iter	Logloss
0	0.693016083
1	0.693016083
2	0.6929520698
3	0.6928833593
4	0.6927862644
5	0.6927496143
6	0.692719827
7	0.6927153431
8	0.6926326639
9	0.6926041645
10	0.6925258183
11	0.692415378
12	0.6923148759
13	0.6922974892
14	0.6922955804
15	0.6922953232
16	0.6922941265
17	0.6922784525
18	0.6921953376
19	0.6921465162
20	0.6920177918
21	0.6919186779
22	0.6918668048
23	0.6917923931
24	0.6917579229
25	0.6917313047
26	0.6916980152
27	0.6916653452
28	0.6916370075
29	0.6915812908
30	0.6915116299
31	0.6914536069
32	0.6914447375
33	0.6913215068
34	0.6911975824
35	0.6911975824
36	0.6911914523
37	0.6911662029
38	0.6910998423
39	0.6910363348
40	0.6909831568
41	0.690940253
42	0.6908275699
43	0.6908218059
44	0.6907628214
45	0.6907076803
46	0.6906835429
47	0.6906834207
48	0.6906594979
49	0.690608853
50	0.690570516
51	0.690533984
52	0.6904810901
53	0.6904803893
54	0.6904005349
55	0.690316455
56	0.6902817475
57	0.6902769587
58	0.6902390326
59	0.6902390326
60	0.6901454744
61	0.6901136694
62	0.6901091594
63	0.6900755704
64	0.6900170797
65	0.6899047792
66	0.6898237498
67	0.6897870483
68	0.689730316
69	0.6897280897
70	0.689686604
71	0.6896577141
72	0.6895726243
73	0.6895339636
74	0.6894719655
75	0.6893688006
76	0.6893566097
77	0.6893231539
78	0.6893138349
79	0.6892675758
80	0.6892637919
81	0.6892219954
82	0.6891475703
83	0.6891355843
84	0.6891178033
85	0.6891178033
86	0.6890069122
87	0.6889318404
88	0.6888977296
89	0.688861839
90	0.6888602899
91	0.6888271442
92	0.6887497471
93	0.6887442351
94	0.688705707
95	0.6885652891
96	0.6885615439
97	0.688493922
98	0.688489625
99	0.6884610367
100	0.6883984213
101	0.688259911
102	0.6882585012
103	0.6882487914
104	0.6882458318
105	0.6882284856
106	0.6881859066
107	0.6881760132
108	0.6881678916
109	0.6881028065
110	0.6880987268
111	0.6880973371
112	0.6880409059
113	0.6879897928
114	0.6879897928
115	0.6879308326
116	0.6878877488
117	0.6878677815
118	0.6878432025
119	0.6877951929
120	0.6877951929
121	0.6877776772
122	0.6877469324
123	0.6877469323
124	0.6876940504
125	0.687689342
126	0.6876566183
127	0.6876397232
128	0.687637604
129	0.6875911709
130	0.6875055145
131	0.6875055145
132	0.6875034721
133	0.6875013631
134	0.6874975206
135	0.6874584184
136	0.687430037
137	0.687364125
138	0.6873284686
139	0.6872887623
140	0.687277636
141	0.68724409
142	0.6871871887
143	0.6871394445
144	0.6870709018
145	0.6870672529
146	0.6870215246
147	0.6869420758
148	0.6868878659
149	0.6868774558
150	0.6868399369
151	0.6867603245
152	0.686663516
153	0.6866270954
154	0.6865953906
155	0.6864870801
156	0.6864240895
157	0.686380085
158	0.6863408301
159	0.68629551
160	0.6862865887
161	0.6862532363
162	0.6861471314
163	0.6860905084
164	0.6860008316
165	0.685912967
166	0.6858925095
167	0.6858925095
168	0.6858846295
169	0.6858842288
170	0.6858594321
171	0.6858580715
172	0.6858534428
173	0.6857868113
174	0.6857664322
175	0.6857631509
176	0.6857497355
177	0.6857341474
178	0.6856612682
179	0.6856553819
180	0.6856429194
181	0.6856348587
182	0.685547381
183	0.6855066748
184	0.6854554994
185	0.6854554994
186	0.6854443069
187	0.6853690422
188	0.6852367702
189	0.6852113808
190	0.6851493551
