iter	Passed	Remaining
0	253	202853
1	274	109671
2	382	101708
3	491	97806
4	614	97674
5	713	94384
6	819	92781
7	864	85620
8	960	84431
9	1055	83394
10	1222	87661
11	1320	86694
12	1439	87124
13	1553	87213
14	1614	84489
15	1650	80890
16	1692	77947
17	1745	75840
18	1867	76770
19	1984	77394
20	2173	80626
21	2277	80541
22	2385	80581
23	2526	81694
24	2688	83341
25	2827	84175
26	3004	86025
27	3149	86829
28	3343	88902
29	3487	89510
30	3657	90738
31	3834	92026
32	3960	92042
33	4115	92715
34	4241	92717
35	4269	90606
36	4345	89602
37	4539	91031
38	4717	92057
39	4915	93395
40	5201	96288
41	5565	100439
42	5763	101460
43	5871	100878
44	6031	101196
45	6174	101206
46	6362	101939
47	6411	100446
48	6575	100776
49	6717	100763
50	6878	101021
51	7009	100835
52	7139	100631
53	7185	99269
54	7350	99566
55	7526	99999
56	7716	100591
57	7798	99761
58	7949	99846
59	7974	98351
60	8183	99141
61	8323	99081
62	8363	97841
63	8500	97759
64	8643	97735
65	8792	97788
66	8942	97834
67	9080	97744
68	9275	98271
69	9337	97375
70	9494	97485
71	9662	97694
72	9806	97661
73	9948	97605
74	10066	97305
75	10175	96934
76	10268	96417
77	10400	96269
78	10468	95540
79	10599	95392
80	10664	94667
81	10861	95100
82	11010	95113
83	11134	94910
84	11382	95746
85	11420	94816
86	11545	94617
87	11674	94457
88	11840	94593
89	11990	94591
90	12175	94863
91	12459	95883
92	12671	96329
93	12944	97221
94	13153	97614
95	13498	98990
96	13597	98545
97	13771	98648
98	13824	97887
99	13985	97895
100	14152	97943
101	14293	97811
102	14384	97342
103	14468	96827
104	14510	96043
105	14636	95826
106	14763	95620
107	14834	95053
108	14913	94543
109	15074	94558
110	15118	93841
111	15188	93298
112	15326	93181
113	15492	93229
114	15519	92444
115	15657	92323
116	15832	92423
117	16061	92829
118	16272	93122
119	16400	92933
120	16425	92174
121	16563	92052
122	16689	91859
123	16731	91214
124	16865	91072
125	16945	90645
126	17111	90678
127	17260	90620
128	17300	89989
129	17429	89830
130	17581	89788
131	17606	89101
132	17655	88544
133	17721	88079
134	17790	87636
135	17955	87666
136	18130	87742
137	18324	87905
138	18522	88081
139	18640	87877
