site_id,rma_date,rma_count,rolling_mean,rolling_std,z_score,deviation,pct_change,severity,consecutive_count,region,site_type,country,operator,week_number,year
ST-00240,2024-06-03,4,1.0,0.5,6.0,3.0,297.0,Critical,0,EMEA,Warehouse,Germany,,23,2024
ST-00935,2024-01-22,4,1.0,0.5,6.0,3.0,297.0,Critical,0,EMEA,Warehouse,France,,4,2024
ST-01429,2024-09-23,4,1.0,0.5,6.0,3.0,297.0,Critical,0,EMEA,Warehouse,Czechia,,39,2024
ST-01564,2023-07-17,4,1.0,0.5,6.0,3.0,297.0,Critical,0,EMEA,Warehouse,Netherlands,,29,2023
ST-01400,2025-06-16,4,1.25,0.5,5.5,2.75,218.3,Critical,0,AMER,Cell Site,Argentina,Verizon,25,2025
ST-01729,2025-05-05,4,1.25,0.5,5.5,2.75,218.3,Critical,0,EMEA,Cell Site,Germany,Vodafone,19,2025
ST-00030,2025-07-21,3,1.0,0.5,4.0,2.0,198.0,Critical,0,AMER,Data Center,USA,TIM Brasil,30,2025
ST-00045,2023-10-23,3,1.0,0.5,4.0,2.0,198.0,Critical,0,APAC,Cell Site,Vietnam,NTT Docomo,43,2023
ST-00056,2023-12-18,3,1.0,0.5,4.0,2.0,198.0,Critical,0,AMER,Cell Site,USA,Verizon,51,2023
ST-00058,2024-06-03,3,1.0,0.5,4.0,2.0,198.0,Critical,0,EMEA,Cell Site,UK,Telefónica,23,2024
ST-00063,2025-05-05,3,1.0,0.5,4.0,2.0,198.0,Critical,0,APAC,Cell Site,Australia,Telstra,19,2025
ST-00064,2025-08-25,3,1.0,0.5,4.0,2.0,198.0,Critical,0,APAC,Cell Site,Australia,SK Telecom,35,2025
ST-00110,2023-09-25,3,1.0,0.5,4.0,2.0,198.0,Critical,0,EMEA,Warehouse,Austria,,39,2023
ST-00110,2025-10-13,3,1.0,0.5,4.0,2.0,198.0,Critical,0,EMEA,Warehouse,Austria,,42,2025
ST-00130,2024-08-12,3,1.0,0.5,4.0,2.0,198.0,Critical,0,APAC,Cell Site,China,Maxis,33,2024
ST-00134,2024-12-09,3,1.0,0.5,4.0,2.0,198.0,Critical,0,AMER,Data Center,Brazil,Bell,50,2024
ST-00141,2024-03-18,3,1.0,0.5,4.0,2.0,198.0,Critical,0,EMEA,Data Center,Czechia,Telefónica,12,2024
ST-00158,2024-02-19,3,1.0,0.5,4.0,2.0,198.0,Critical,0,AMER,Cell Site,Chile,Rogers,8,2024
ST-00204,2023-08-21,3,1.0,0.5,4.0,2.0,198.0,Critical,0,EMEA,Cell Site,Netherlands,Vodafone,34,2023
ST-00207,2023-03-27,3,1.0,0.5,4.0,2.0,198.0,Critical,0,EMEA,Cell Site,France,Orange,13,2023
ST-00215,2024-12-16,3,1.0,0.5,4.0,2.0,198.0,Critical,0,EMEA,Cell Site,Spain,Telenor,51,2024
ST-00274,2023-09-04,3,1.0,0.5,4.0,2.0,198.0,Critical,0,EMEA,Cell Site,Germany,Telefónica,36,2023
ST-00278,2025-03-24,3,1.0,0.5,4.0,2.0,198.0,Critical,0,EMEA,Cell Site,Spain,Deutsche Telekom,13,2025
ST-00311,2023-05-15,3,1.0,0.5,4.0,2.0,198.0,Critical,0,EMEA,Cell Site,Italy,Vodafone,20,2023
ST-00315,2025-09-29,3,1.0,0.5,4.0,2.0,198.0,Critical,0,EMEA,Data Center,UK,Deutsche Telekom,40,2025
ST-00342,2025-04-21,3,1.0,0.5,4.0,2.0,198.0,Critical,0,EMEA,Cell Site,Italy,Orange,17,2025
ST-00345,2023-06-26,3,1.0,0.5,4.0,2.0,198.0,Critical,0,AMER,Cell Site,Brazil,T-Mobile US,26,2023
ST-00382,2024-11-04,3,1.0,0.5,4.0,2.0,198.0,Critical,0,APAC,Integration Center,Thailand,,45,2024
ST-00394,2023-07-10,3,1.0,0.5,4.0,2.0,198.0,Critical,0,EMEA,Warehouse,Italy,,28,2023
ST-00449,2023-10-02,3,1.0,0.5,4.0,2.0,198.0,Critical,0,AMER,Cell Site,Colombia,AT&T,40,2023
ST-00459,2025-01-13,3,1.0,0.5,4.0,2.0,198.0,Critical,0,APAC,Cell Site,India,NTT Docomo,3,2025
ST-00460,2025-08-04,3,1.0,0.5,4.0,2.0,198.0,Critical,0,EMEA,Warehouse,Poland,,32,2025
ST-00519,2024-08-26,3,1.0,0.5,4.0,2.0,198.0,Critical,0,EMEA,Cell Site,UK,Telenor,35,2024
ST-00526,2024-04-08,3,1.0,0.5,4.0,2.0,198.0,Critical,0,EMEA,Cell Site,Spain,Deutsche Telekom,15,2024
ST-00566,2023-03-27,3,1.0,0.5,4.0,2.0,198.0,Critical,0,EMEA,Cell Site,Spain,Three,13,2023
ST-00583,2023-05-29,3,1.0,0.5,4.0,2.0,198.0,Critical,0,EMEA,Integration Center,Poland,,22,2023
ST-00588,2024-03-04,3,1.0,0.5,4.0,2.0,198.0,Critical,0,EMEA,Cell Site,Italy,Telia,10,2024
ST-00611,2023-02-27,3,1.0,0.5,4.0,2.0,198.0,Critical,0,APAC,Cell Site,Thailand,Maxis,9,2023
ST-00669,2024-12-30,3,1.0,0.5,4.0,2.0,198.0,Critical,0,EMEA,Cell Site,Czechia,A1 Telekom,1,2024
ST-00702,2023-05-15,3,1.0,0.5,4.0,2.0,198.0,Critical,0,EMEA,Integration Center,Sweden,,20,2023
ST-00716,2023-01-09,3,1.0,0.5,4.0,2.0,198.0,Critical,0,EMEA,Warehouse,Italy,,2,2023
ST-00803,2025-03-03,3,1.0,0.5,4.0,2.0,198.0,Critical,0,AMER,Cell Site,Brazil,Rogers,10,2025
ST-00820,2023-08-14,3,1.0,0.5,4.0,2.0,198.0,Critical,0,APAC,Integration Center,Vietnam,,33,2023
ST-00858,2025-01-27,3,1.0,0.5,4.0,2.0,198.0,Critical,0,EMEA,Cell Site,Italy,Deutsche Telekom,5,2025
ST-00865,2025-02-10,3,1.0,0.5,4.0,2.0,198.0,Critical,0,APAC,Cell Site,Vietnam,Maxis,7,2025
ST-00893,2023-01-30,3,1.0,0.5,4.0,2.0,198.0,Critical,0,AMER,Cell Site,USA,Verizon,5,2023
ST-00940,2023-08-28,3,1.0,0.5,4.0,2.0,198.0,Critical,0,APAC,Cell Site,Singapore,Singtel,35,2023
ST-00942,2023-11-06,3,1.0,0.5,4.0,2.0,198.0,Critical,0,AMER,Warehouse,Canada,,45,2023
ST-00944,2023-03-20,3,1.0,0.5,4.0,2.0,198.0,Critical,0,APAC,Data Center,Indonesia,Singtel,12,2023
ST-00965,2025-06-23,3,1.0,0.5,4.0,2.0,198.0,Critical,0,EMEA,Cell Site,Poland,Telefónica,26,2025
ST-00998,2024-04-15,3,1.0,0.5,4.0,2.0,198.0,Critical,0,APAC,Warehouse,China,,16,2024
ST-01028,2023-07-03,3,1.0,0.5,4.0,2.0,198.0,Critical,0,AMER,Integration Center,Argentina,,27,2023
ST-01059,2024-10-21,3,1.0,0.5,4.0,2.0,198.0,Critical,0,APAC,Cell Site,Indonesia,Maxis,43,2024
ST-01075,2024-05-13,3,1.0,0.5,4.0,2.0,198.0,Critical,0,APAC,Cell Site,Thailand,Singtel,20,2024
ST-01110,2024-05-13,3,1.0,0.5,4.0,2.0,198.0,Critical,0,EMEA,Warehouse,UK,,20,2024
ST-01131,2024-05-13,3,1.0,0.5,4.0,2.0,198.0,Critical,0,APAC,Data Center,Vietnam,Telstra,20,2024
ST-01139,2025-05-05,3,1.0,0.5,4.0,2.0,198.0,Critical,0,APAC,Cell Site,India,China Mobile,19,2025
ST-01151,2024-12-02,3,1.0,0.5,4.0,2.0,198.0,Critical,0,EMEA,Integration Center,Poland,,49,2024
ST-01166,2024-10-07,3,1.0,0.5,4.0,2.0,198.0,Critical,0,APAC,Cell Site,India,Maxis,41,2024
ST-01175,2024-01-22,3,1.0,0.5,4.0,2.0,198.0,Critical,0,EMEA,Cell Site,Czechia,Deutsche Telekom,4,2024
ST-01183,2023-04-17,3,1.0,0.5,4.0,2.0,198.0,Critical,0,EMEA,Cell Site,Spain,Telefónica,16,2023
ST-01184,2023-02-06,3,1.0,0.5,4.0,2.0,198.0,Critical,0,EMEA,Data Center,Sweden,Telia,6,2023
ST-01224,2025-07-14,3,1.0,0.5,4.0,2.0,198.0,Critical,0,AMER,Integration Center,Canada,,29,2025
ST-01241,2024-08-26,3,1.0,0.5,4.0,2.0,198.0,Critical,0,EMEA,Cell Site,Italy,Vodafone,35,2024
ST-01282,2023-02-27,3,1.0,0.5,4.0,2.0,198.0,Critical,0,EMEA,Cell Site,Poland,Orange,9,2023
ST-01287,2024-08-05,3,1.0,0.5,4.0,2.0,198.0,Critical,0,APAC,Cell Site,Japan,Singtel,32,2024
ST-01307,2025-01-06,3,1.0,0.5,4.0,2.0,198.0,Critical,0,EMEA,Cell Site,France,Telefónica,2,2025
ST-01325,2025-02-03,3,1.0,0.5,4.0,2.0,198.0,Critical,0,EMEA,Data Center,Czechia,Deutsche Telekom,6,2025
ST-01334,2024-05-13,3,1.0,0.5,4.0,2.0,198.0,Critical,0,AMER,Warehouse,Mexico,,20,2024
ST-01389,2023-05-22,3,1.0,0.5,4.0,2.0,198.0,Critical,0,APAC,Cell Site,China,Reliance Jio,21,2023
ST-01453,2024-05-20,3,1.0,0.5,4.0,2.0,198.0,Critical,0,APAC,Warehouse,Australia,,21,2024
ST-01518,2023-05-29,3,1.0,0.5,4.0,2.0,198.0,Critical,0,APAC,Warehouse,India,,22,2023
ST-01531,2023-02-13,3,1.0,0.5,4.0,2.0,198.0,Critical,0,AMER,Warehouse,Argentina,,7,2023
ST-01543,2023-02-27,3,1.0,0.5,4.0,2.0,198.0,Critical,0,APAC,Warehouse,South Korea,,9,2023
ST-01549,2024-06-10,3,1.0,0.5,4.0,2.0,198.0,Critical,0,APAC,Cell Site,Indonesia,Reliance Jio,24,2024
ST-01554,2023-05-08,3,1.0,0.5,4.0,2.0,198.0,Critical,0,AMER,Integration Center,USA,,19,2023
ST-01554,2024-05-13,3,1.0,0.5,4.0,2.0,198.0,Critical,0,AMER,Integration Center,USA,,20,2024
