sku_id,total_returns,avg_inventory,total_shipped_qty,failure_rate,vendor,category,technology,unit_weight_kg,unit_volume_m3,std_cost_usd,supplier_nominal_lead_time_days,DOA,FIRMWARE,INTERMITTENT,MECH_DAMAGE,NO_POWER,OTHER,OVERHEAT,RF_FAULT
SKU-02358,16,9.030303030303031,146,0.1095890410958904,Cisco,Edge Router,4G,30.97,0.3274,223.19,44,3,0,2,3,3,1,0,4
SKU-03084,19,9.071428571428571,184,0.10326086956521739,Samsung,Optical Transport,5G,4.28,0.0568,334.83,9,2,4,3,1,1,4,1,3
SKU-01171,17,9.692307692307692,168,0.10119047619047619,Ciena,Small Cell,5G,35.58,0.3592,564.91,65,2,1,2,2,1,4,2,3
SKU-04067,14,8.418604651162791,140,0.1,Samsung,Small Cell,Dual (4G/5G),21.32,0.2151,537.65,26,2,0,1,4,0,3,0,4
SKU-03133,12,9.476190476190476,132,0.09090909090909091,Cisco,Fiber,5G,2.46,0.0317,219.01,32,2,2,0,0,2,0,1,5
SKU-04205,14,7.916666666666667,155,0.09032258064516129,Samsung,Small Cell,4G,22.39,0.2432,1270.55,19,0,5,2,0,2,2,2,1
SKU-02092,14,8.805555555555555,155,0.09032258064516129,Samsung,Cabling,5G,19.65,0.2049,644.66,16,2,1,1,1,1,4,1,3
SKU-02206,18,8.041666666666666,211,0.08530805687203792,Samsung,Power,5G,12.57,0.1301,360.86,11,2,5,2,3,0,3,1,2
SKU-03131,19,8.943396226415095,230,0.08260869565217391,Cisco,Edge Router,5G,16.61,0.1832,807.24,66,0,2,0,2,3,3,6,3
SKU-01991,14,9.617647058823529,170,0.08235294117647059,NEC,RAN,5G,7.78,0.0853,586.43,53,0,2,1,1,3,1,3,3
SKU-00995,14,9.026315789473685,172,0.08139534883720931,Juniper,Optical Transport,Dual (4G/5G),39.64,0.4046,297.68,34,1,7,2,1,1,0,0,2
SKU-03136,14,9.046511627906977,177,0.07909604519774012,Ericsson,Power,4G,19.02,0.1928,211.48,59,2,0,3,2,3,3,0,1
SKU-04708,16,8.904761904761905,204,0.0784313725490196,Juniper,Fiber,5G,38.53,0.3913,177.99,61,3,3,4,1,1,0,2,2
SKU-02142,13,8.604651162790697,166,0.0783132530120482,Huawei,Antenna,5G,1.91,0.0321,665.6,67,1,2,3,2,1,3,1,0
SKU-02670,14,8.5,179,0.0782122905027933,Nokia,Small Cell,5G,8.28,0.0922,860.81,39,1,4,1,2,0,1,3,2
SKU-04859,13,8.727272727272727,169,0.07692307692307693,ZTE,Small Cell,4G,12.39,0.1287,69.77,13,0,1,1,1,0,1,6,3
SKU-04324,15,9.483870967741936,197,0.07614213197969544,HPE Aruba,Microwave,4G,18.67,0.1927,104.54,86,2,0,2,2,2,2,2,3
