rma_id,sku_id,site_id,reason_code,rma_date,under_warranty
RMA-0000001,SKU-00206,ST-01094,DOA,2024-10-15,True
RMA-0000002,SKU-02303,ST-01174,RF_FAULT,2023-11-05,False
RMA-0000003,SKU-04015,ST-01643,RF_FAULT,2025-03-26,True
RMA-0000004,SKU-00438,ST-01539,DOA,2025-02-25,True
RMA-0000005,SKU-02819,ST-00776,MECH_DAMAGE,2023-06-02,True
RMA-0000006,SKU-04730,ST-01868,DOA,2023-11-07,True
RMA-0000007,SKU-02055,ST-01477,DOA,2025-10-07,True
RMA-0000008,SKU-04808,ST-00490,FIRMWARE,2023-02-09,True
RMA-0000009,SKU-01496,ST-01950,FIRMWARE,2024-10-28,False
RMA-0000010,SKU-02830,ST-01111,DOA,2023-07-20,True
RMA-0000011,SKU-03480,ST-01335,FIRMWARE,2023-03-30,False
RMA-0000012,SKU-01647,ST-00484,RF_FAULT,2024-02-17,False
RMA-0000013,SKU-04214,ST-01830,RF_FAULT,2025-07-24,False
RMA-0000014,SKU-02115,ST-01301,FIRMWARE,2023-03-04,False
RMA-0000015,SKU-03288,ST-00933,MECH_DAMAGE,2024-02-18,True
RMA-0000016,SKU-01397,ST-00765,RF_FAULT,2023-05-22,False
RMA-0000017,SKU-03490,ST-01814,INTERMITTENT,2025-06-16,True
RMA-0000018,SKU-00643,ST-00407,OVERHEAT,2025-04-17,True
RMA-0000019,SKU-04560,ST-00433,FIRMWARE,2023-03-16,True
RMA-0000020,SKU-03770,ST-00840,OTHER,2024-09-19,True
RMA-0000021,SKU-00594,ST-01003,NO_POWER,2023-10-18,True
RMA-0000022,SKU-00754,ST-01827,RF_FAULT,2024-07-21,True
RMA-0000023,SKU-03038,ST-01863,FIRMWARE,2023-06-07,True
RMA-0000024,SKU-00117,ST-00859,MECH_DAMAGE,2023-06-15,True
RMA-0000025,SKU-03898,ST-00999,INTERMITTENT,2025-08-21,True
RMA-0000026,SKU-04881,ST-00208,MECH_DAMAGE,2023-02-22,True
RMA-0000027,SKU-04679,ST-01727,FIRMWARE,2024-04-25,True
RMA-0000028,SKU-01306,ST-00249,OVERHEAT,2023-03-04,True
RMA-0000029,SKU-00119,ST-00837,OTHER,2025-07-02,True
RMA-0000030,SKU-04533,ST-01509,NO_POWER,2025-02-20,True
RMA-0000031,SKU-04045,ST-00677,RF_FAULT,2025-09-04,True
RMA-0000032,SKU-02836,ST-01988,RF_FAULT,2023-02-19,True
RMA-0000033,SKU-04234,ST-01304,FIRMWARE,2023-09-03,False
RMA-0000034,SKU-01845,ST-00184,FIRMWARE,2024-12-29,True
RMA-0000035,SKU-04779,ST-01408,NO_POWER,2025-06-21,True
RMA-0000036,SKU-01563,ST-00163,RF_FAULT,2024-06-03,True
RMA-0000037,SKU-01001,ST-00036,FIRMWARE,2023-07-19,True
RMA-0000038,SKU-03761,ST-00965,INTERMITTENT,2023-08-08,False
RMA-0000039,SKU-02673,ST-01013,INTERMITTENT,2025-02-07,False
RMA-0000040,SKU-02786,ST-00031,INTERMITTENT,2025-04-20,False
RMA-0000041,SKU-01878,ST-00501,RF_FAULT,2024-07-10,False
RMA-0000042,SKU-01499,ST-01915,OTHER,2024-09-26,True
RMA-0000043,SKU-04979,ST-00490,OVERHEAT,2023-05-03,True
RMA-0000044,SKU-02125,ST-01812,MECH_DAMAGE,2024-01-13,False
RMA-0000045,SKU-03668,ST-01483,FIRMWARE,2024-09-11,False
RMA-0000046,SKU-04396,ST-00885,INTERMITTENT,2024-09-17,True
RMA-0000047,SKU-03563,ST-01729,MECH_DAMAGE,2024-08-28,True
RMA-0000048,SKU-01835,ST-01231,RF_FAULT,2023-06-25,True
RMA-0000049,SKU-04531,ST-01367,MECH_DAMAGE,2023-03-12,True
RMA-0000050,SKU-00782,ST-01642,DOA,2023-05-10,True
RMA-0000051,SKU-04547,ST-00765,INTERMITTENT,2023-01-24,True
RMA-0000052,SKU-03524,ST-00146,INTERMITTENT,2025-09-24,True
RMA-0000053,SKU-00053,ST-00726,MECH_DAMAGE,2023-08-31,False
RMA-0000054,SKU-00355,ST-01293,DOA,2024-10-08,True
RMA-0000055,SKU-01174,ST-01015,FIRMWARE,2024-02-05,False
RMA-0000056,SKU-02969,ST-00379,OVERHEAT,2024-09-26,True
RMA-0000057,SKU-00414,ST-01993,DOA,2024-10-07,False
RMA-0000058,SKU-00173,ST-01496,FIRMWARE,2025-04-01,True
RMA-0000059,SKU-04431,ST-00347,FIRMWARE,2025-06-05,True
RMA-0000060,SKU-00972,ST-01569,OTHER,2025-04-01,False
RMA-0000061,SKU-02496,ST-01410,INTERMITTENT,2025-08-12,False
RMA-0000062,SKU-00965,ST-00780,DOA,2023-05-24,True
RMA-0000063,SKU-01722,ST-00293,RF_FAULT,2023-07-01,False
RMA-0000064,SKU-02043,ST-00594,OVERHEAT,2024-05-29,True
RMA-0000065,SKU-00068,ST-00869,FIRMWARE,2024-07-28,False
RMA-0000066,SKU-00137,ST-00949,MECH_DAMAGE,2025-04-13,False
RMA-0000067,SKU-04238,ST-00427,RF_FAULT,2025-01-17,False
RMA-0000068,SKU-02797,ST-01168,MECH_DAMAGE,2025-06-29,True
RMA-0000069,SKU-00875,ST-00256,FIRMWARE,2023-12-13,False
RMA-0000070,SKU-02748,ST-01803,RF_FAULT,2024-08-30,True
RMA-0000071,SKU-04560,ST-00347,OTHER,2023-12-05,False
RMA-0000072,SKU-04529,ST-01113,MECH_DAMAGE,2025-06-18,True
RMA-0000073,SKU-04429,ST-00121,FIRMWARE,2024-03-22,True
RMA-0000074,SKU-03851,ST-01261,RF_FAULT,2025-01-11,True
RMA-0000075,SKU-00150,ST-01665,OVERHEAT,2023-11-14,False
