sku_id,vendor,category,technology,unit_weight_kg,unit_volume_m3,std_cost_usd,supplier_nominal_lead_time_days
SKU-00001,Juniper,Cabling,5G,11.01,0.1236,360.72,27
SKU-00002,ZTE,Power,5G,8.82,0.098,965.54,81
SKU-00003,Ciena,Microwave,4G,26.61,0.284,1022.4,20
SKU-00004,Samsung,Microwave,4G,4.89,0.0684,544.35,85
SKU-00005,Juniper,Optical Transport,4G,31.83,0.3347,1566.84,22
SKU-00006,NEC,Small Cell,5G,28.14,0.3013,533.15,17
SKU-00007,Huawei,Power,Dual (4G/5G),32.84,0.3354,1122.51,60
SKU-00008,Juniper,Fiber,5G,36.77,0.3856,206.29,49
SKU-00009,Ciena,Core,5G,52.93,0.5359,217.5,44
SKU-00010,Samsung,Core,5G,52.28,0.5252,2125.4,35
SKU-00011,ZTE,RAN,4G,27.27,0.2851,273.07,85
SKU-00012,Ciena,RAN,4G,51.92,0.5283,907.7,36
SKU-00013,Ciena,Antenna,5G,11.47,0.1331,264.65,5
SKU-00014,Huawei,Power,Dual (4G/5G),100.44,1.0142,551.23,39
SKU-00015,Cisco,Core,5G,69.78,0.7164,361.9,40
SKU-00016,Samsung,Antenna,5G,8.84,0.09,715.45,87
SKU-00017,Nokia,Optical Transport,Dual (4G/5G),9.11,0.1077,712.42,70
SKU-00018,Ciena,Small Cell,4G,4.66,0.0618,237.64,33
SKU-00019,Cisco,Core,5G,2.64,0.0408,735.03,47
SKU-00020,Nokia,Core,5G,4.38,0.0509,161.74,33
SKU-00021,Samsung,Core,5G,43.87,0.4544,1604.58,47
SKU-00022,Ericsson,RAN,4G,37.08,0.3805,537.75,23
SKU-00023,NEC,RAN,5G,26.95,0.2838,35.79,68
SKU-00024,Cisco,Cabling,5G,2.74,0.0384,141.63,35
SKU-00025,HPE Aruba,Antenna,4G,4.89,0.052,697.51,23
SKU-00026,Ericsson,Fiber,5G,72.47,0.726,870.01,33
SKU-00027,NEC,RAN,4G,14.37,0.151,295.13,77
SKU-00028,Huawei,Power,Dual (4G/5G),20.26,0.2213,457.43,11
SKU-00029,Juniper,RAN,5G,33.82,0.3488,720.91,62
SKU-00030,ZTE,RAN,Dual (4G/5G),19.66,0.2126,1151.6,80
SKU-00031,HPE Aruba,Cabling,5G,5.46,0.0661,834.04,64
SKU-00032,Huawei,Power,4G,14.53,0.1645,257.67,55
SKU-00033,Samsung,RAN,4G,21.77,0.2251,1201.62,86
SKU-00034,Huawei,RAN,4G,34.28,0.3439,70.9,54
SKU-00035,Juniper,Small Cell,4G,6.61,0.0817,322.52,25
SKU-00036,Samsung,RAN,5G,6.0,0.0741,662.51,13
SKU-00037,HPE Aruba,Edge Router,4G,60.86,0.6192,153.72,38
SKU-00038,Juniper,Power,5G,8.29,0.0894,421.56,38
SKU-00039,Nokia,RAN,5G,8.7,0.0908,628.07,51
SKU-00040,ZTE,RAN,5G,31.22,0.3218,216.89,28
SKU-00041,HPE Aruba,Core,5G,2.85,0.0418,469.82,84
SKU-00042,Nokia,Fiber,5G,25.76,0.2692,151.67,32
SKU-00043,NEC,Power,Dual (4G/5G),20.63,0.215,901.9,50
SKU-00044,HPE Aruba,Cabling,4G,3.22,0.043,618.11,55
SKU-00045,NEC,Small Cell,5G,6.54,0.0676,728.5,10
SKU-00046,Samsung,Fiber,5G,39.74,0.4113,381.65,67
SKU-00047,Nokia,Edge Router,5G,9.43,0.109,106.4,57
SKU-00048,ZTE,Edge Router,5G,6.43,0.0645,362.79,68
SKU-00049,Juniper,Power,5G,25.21,0.2575,1605.06,56
SKU-00050,Ciena,Cabling,5G,8.54,0.0872,909.68,64
SKU-00051,Huawei,Power,5G,14.82,0.1682,1629.85,45
