iter	Logloss
0	0.692386148
1	0.6887278706
2	0.6881852587
3	0.6868496313
4	0.6853268417
5	0.6843178683
6	0.6823141823
7	0.6803569217
8	0.6784158334
9	0.6745584792
10	0.6711767222
11	0.6700440368
12	0.6671304841
13	0.6647430294
14	0.6646486432
15	0.6641560515
16	0.6620490859
17	0.6597667088
18	0.6570282801
19	0.6552707135
20	0.653814791
21	0.6511079431
22	0.6480416033
23	0.6458227863
24	0.6431010749
25	0.6427469738
26	0.6425296199
27	0.6411407973
28	0.6388747339
29	0.6354721994
30	0.6353059384
31	0.6298282724
32	0.6266164843
33	0.6264494867
34	0.6242315685
35	0.619914535
36	0.6179993354
37	0.6154822605
38	0.6147676325
39	0.6146254363
40	0.611304528
41	0.6086246519
42	0.607060838
43	0.6041147747
44	0.6027164411
45	0.602612841
46	0.5998956114
47	0.5986101809
48	0.5950587075
49	0.5920633828
50	0.5893330739
51	0.5889066877
52	0.5858784285
53	0.5839512111
54	0.5819466906
55	0.5807575771
