iter	Passed	Remaining
0	242	241940
1	745	372047
2	871	289601
3	1052	262145
4	1233	245562
5	1488	246575
6	1621	230017
7	1821	225865
8	1946	214352
9	2072	205169
10	2194	197280
11	2342	192863
12	2429	184426
13	2544	179216
14	2593	170306
15	2707	166523
16	2928	169324
17	3094	168798
18	3263	168478
19	3361	164699
20	3435	160178
21	3519	156471
22	3620	153783
23	3719	151251
24	3840	149764
25	3906	146350
26	3976	143316
27	4110	142688
28	4204	140774
29	4319	139664
30	4352	136045
31	4436	134204
32	4541	133081
33	4578	130092
34	4665	128638
35	4784	128126
36	4922	128126
37	5030	127343
38	5101	125708
39	5150	123613
40	5248	122766
41	5330	121585
42	5387	119901
43	5465	118744
44	5566	118139
45	5591	115958
46	5686	115305
47	5809	115221
48	5906	114627
49	6000	114005
50	6145	114361
51	6194	112934
52	6280	112216
53	6357	111381
54	6487	111462
55	6565	110672
