site_id,rma_date,rma_count,rolling_mean,rolling_std,deviation,pct_change,z_score,severity,region,site_type,country
ST-00001,2023-01-09,1,0.0,0.5,1.0,10000.0,2.0,Normal,EMEA,Cell Site,Italy
ST-00001,2023-02-20,1,0.0,0.5,1.0,10000.0,2.0,Normal,EMEA,Cell Site,Italy
ST-00001,2023-04-03,1,1.0,0.5,0.0,0.0,0.0,Normal,EMEA,Cell Site,Italy
ST-00001,2023-04-24,1,1.0,0.5,0.0,0.0,0.0,Normal,EMEA,Cell Site,Italy
ST-00001,2023-05-01,1,1.0,0.5,0.0,0.0,0.0,Normal,EMEA,Cell Site,Italy
ST-00001,2023-07-17,1,1.0,0.5,0.0,0.0,0.0,Normal,EMEA,Cell Site,Italy
ST-00001,2023-09-11,1,1.0,0.5,0.0,0.0,0.0,Normal,EMEA,Cell Site,Italy
ST-00001,2023-12-04,1,1.0,0.5,0.0,0.0,0.0,Normal,EMEA,Cell Site,Italy
ST-00001,2023-12-11,1,1.0,0.5,0.0,0.0,0.0,Normal,EMEA,Cell Site,Italy
ST-00001,2024-01-01,1,1.0,0.5,0.0,0.0,0.0,Normal,EMEA,Cell Site,Italy
ST-00001,2024-02-19,1,1.0,0.5,0.0,0.0,0.0,Normal,EMEA,Cell Site,Italy
ST-00001,2024-04-15,2,1.0,0.5,1.0,99.00990099009901,2.0,High,EMEA,Cell Site,Italy
ST-00001,2024-08-05,1,1.25,0.5,-0.25,-19.841269841269842,-0.5,Normal,EMEA,Cell Site,Italy
ST-00001,2024-08-12,1,1.25,0.5,-0.25,-19.841269841269842,-0.5,Normal,EMEA,Cell Site,Italy
ST-00001,2024-10-14,1,1.25,0.5,-0.25,-19.841269841269842,-0.5,Normal,EMEA,Cell Site,Italy
ST-00001,2024-12-16,1,1.25,0.5,-0.25,-19.841269841269842,-0.5,Normal,EMEA,Cell Site,Italy
ST-00001,2025-01-13,1,1.0,0.5,0.0,0.0,0.0,Normal,EMEA,Cell Site,Italy
ST-00001,2025-02-24,1,1.0,0.5,0.0,0.0,0.0,Normal,EMEA,Cell Site,Italy
ST-00001,2025-03-17,2,1.0,0.5,1.0,99.00990099009901,2.0,High,EMEA,Cell Site,Italy
ST-00001,2025-04-07,1,1.25,0.5,-0.25,-19.841269841269842,-0.5,Normal,EMEA,Cell Site,Italy
ST-00001,2025-04-14,1,1.25,0.5,-0.25,-19.841269841269842,-0.5,Normal,EMEA,Cell Site,Italy
ST-00001,2025-06-30,1,1.25,0.5,-0.25,-19.841269841269842,-0.5,Normal,EMEA,Cell Site,Italy
ST-00001,2025-08-18,1,1.25,0.5,-0.25,-19.841269841269842,-0.5,Normal,EMEA,Cell Site,Italy
ST-00001,2025-09-01,1,1.0,0.5,0.0,0.0,0.0,Normal,EMEA,Cell Site,Italy
ST-00001,2025-09-22,2,1.0,0.5,1.0,99.00990099009901,2.0,High,EMEA,Cell Site,Italy
ST-00002,2023-01-30,1,1.0,0.5,0.0,0.0,0.0,Normal,APAC,Cell Site,South Korea
ST-00002,2023-03-06,1,1.0,0.5,0.0,0.0,0.0,Normal,APAC,Cell Site,South Korea
ST-00002,2023-05-08,1,1.0,0.5,0.0,0.0,0.0,Normal,APAC,Cell Site,South Korea
ST-00002,2023-05-22,1,1.0,0.5,0.0,0.0,0.0,Normal,APAC,Cell Site,South Korea
ST-00002,2023-07-31,1,1.0,0.5,0.0,0.0,0.0,Normal,APAC,Cell Site,South Korea
ST-00002,2023-11-13,2,1.0,0.5,1.0,99.00990099009901,2.0,High,APAC,Cell Site,South Korea
ST-00002,2023-11-20,1,1.25,0.5,-0.25,-19.841269841269842,-0.5,Normal,APAC,Cell Site,South Korea
ST-00002,2023-12-11,1,1.25,0.5,-0.25,-19.841269841269842,-0.5,Normal,APAC,Cell Site,South Korea
ST-00002,2024-01-08,1,1.25,0.5,-0.25,-19.841269841269842,-0.5,Normal,APAC,Cell Site,South Korea
ST-00002,2024-01-15,2,1.25,0.5,0.75,59.523809523809526,1.5,Medium,APAC,Cell Site,South Korea
ST-00002,2024-01-22,2,1.25,0.5,0.75,59.523809523809526,1.5,Medium,APAC,Cell Site,South Korea
