site_id,region,country,site_type,operator,latitude,longitude,DOA,FIRMWARE,INTERMITTENT,MECH_DAMAGE,NO_POWER,OTHER,OVERHEAT,RF_FAULT
ST-00001,EMEA,Italy,Cell Site,Three,44.65748,-3.44596,3,3,3,2,1,6,3,7
ST-00002,APAC,South Korea,Cell Site,Singtel,19.46501,122.29595,5,5,3,2,3,2,3,0
ST-00003,EMEA,Austria,Warehouse,,41.41491,27.7507,4,7,1,1,1,1,5,7
ST-00004,EMEA,Italy,Integration Center,,51.17115,-1.20329,0,6,4,2,1,1,2,2
ST-00005,AMER,Canada,Cell Site,Verizon,-19.96994,-93.20117,2,3,0,4,1,4,1,2
ST-00006,EMEA,Czechia,Warehouse,,59.34639,-0.53508,2,4,3,6,3,8,0,3
ST-00007,EMEA,France,Cell Site,Deutsche Telekom,39.20934,-3.44041,3,3,1,1,3,2,3,4
ST-00008,EMEA,Spain,Warehouse,,43.60737,14.61263,1,4,2,4,1,5,1,5
ST-00009,EMEA,Czechia,Cell Site,Telia,36.97694,-3.62262,2,5,2,3,2,3,2,2
ST-00010,APAC,India,Warehouse,,39.08165,120.8896,3,3,0,1,0,2,1,4
ST-00011,EMEA,France,Integration Center,,38.49208,12.0039,2,3,2,4,1,6,1,2
ST-00012,EMEA,Poland,Cell Site,Telenor,41.02344,28.94466,0,9,5,1,1,4,3,2
ST-00013,APAC,Singapore,Warehouse,,16.16367,97.11876,4,2,0,0,1,3,1,1
ST-00014,EMEA,Austria,Warehouse,,50.32413,-4.50772,6,4,3,1,0,2,4,7
ST-00015,EMEA,Spain,Warehouse,,47.95175,24.08932,2,5,1,2,2,1,0,2
ST-00016,EMEA,Austria,Cell Site,Vodafone,43.64327,9.09926,5,0,1,3,2,4,1,5
ST-00017,AMER,Colombia,Cell Site,T-Mobile US,-25.25065,-74.14634,1,4,1,2,0,4,3,7
ST-00018,AMER,Colombia,Cell Site,Verizon,-24.90921,-86.92141,1,2,3,2,1,0,0,2
ST-00019,EMEA,Sweden,Warehouse,,56.02957,-4.00326,1,0,5,2,2,3,1,4
ST-00020,APAC,Singapore,Cell Site,Reliance Jio,33.76663,121.52859,2,1,0,2,0,5,0,2
ST-00021,AMER,Mexico,Integration Center,,-22.3061,-93.26031,2,1,0,2,1,4,3,2
ST-00022,AMER,Canada,Integration Center,,24.68921,-70.83315,4,1,3,1,2,2,0,5
ST-00023,APAC,India,Cell Site,Maxis,26.57361,125.7026,2,3,4,3,2,3,1,3
ST-00024,EMEA,France,Cell Site,Telenor,44.03959,-9.94259,1,3,1,2,0,4,1,3
ST-00025,AMER,Mexico,Warehouse,,12.60104,-76.21929,2,3,2,0,4,3,0,4
ST-00026,APAC,Indonesia,Cell Site,Maxis,27.81853,101.56565,4,3,0,4,2,4,1,3
ST-00027,EMEA,Germany,Warehouse,,39.25579,23.21222,0,2,3,3,3,1,1,4
ST-00028,APAC,Vietnam,Integration Center,,33.81059,139.38053,2,2,3,1,0,7,2,6
ST-00029,APAC,Japan,Warehouse,,14.25067,92.9509,1,2,0,1,1,3,1,4
ST-00030,AMER,USA,Data Center,TIM Brasil,7.82954,-80.81016,2,1,3,8,0,3,1,6
ST-00031,EMEA,Netherlands,Warehouse,,35.91325,13.00246,1,4,3,0,2,2,3,6
ST-00032,EMEA,France,Cell Site,Deutsche Telekom,41.52048,-5.23498,3,2,1,3,1,5,0,4
ST-00033,AMER,Colombia,Warehouse,,19.44021,-88.70616,2,7,1,1,1,4,0,5
ST-00034,AMER,Colombia,Cell Site,Rogers,15.54163,-99.3916,4,2,0,3,4,2,1,4
ST-00035,APAC,China,Cell Site,SK Telecom,15.28255,133.27116,1,3,1,1,0,0,0,5
ST-00036,EMEA,Poland,Warehouse,,51.25293,24.70041,5,6,0,6,1,1,1,4
ST-00037,EMEA,UK,Cell Site,Vodafone,53.51186,18.78862,4,7,2,1,0,6,0,3
ST-00038,AMER,Argentina,Cell Site,Verizon,43.30208,-99.21828,0,2,1,1,1,3,2,1
ST-00039,AMER,USA,Integration Center,,2.79985,-61.58344,0,3,3,1,1,3,2,2
ST-00040,APAC,Vietnam,Cell Site,China Mobile,7.90931,122.68637,3,2,2,2,2,0,1,1
ST-00041,APAC,South Korea,Cell Site,Singtel,31.81753,136.68023,2,2,0,1,3,1,1,1
ST-00042,EMEA,Poland,Cell Site,Telenor,56.79494,17.06325,0,1,0,1,4,2,1,3
ST-00043,EMEA,Czechia,Cell Site,Orange,52.77901,3.72145,1,3,1,2,4,3,0,4
ST-00044,EMEA,Spain,Warehouse,,40.59839,28.34491,2,1,1,2,2,3,1,6
ST-00045,APAC,Vietnam,Cell Site,NTT Docomo,39.04707,111.23013,1,8,2,3,2,7,1,9
ST-00046,APAC,South Korea,Warehouse,,17.02216,112.58589,1,5,4,0,0,3,2,6
ST-00047,EMEA,UK,Warehouse,,46.53535,23.68666,2,1,1,0,1,2,1,1
ST-00048,AMER,Colombia,Cell Site,Rogers,3.7625,-64.70595,0,7,1,3,3,3,4,0
ST-00049,AMER,Colombia,Warehouse,,27.56663,-61.38435,1,3,0,1,1,3,2,0
ST-00050,EMEA,Italy,Warehouse,,51.86401,6.48705,4,3,1,1,1,3,1,3
ST-00051,EMEA,Austria,Integration Center,,57.94949,-0.80822,4,6,0,0,3,6,1,5
